;Country;League;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365>2.5;B365<2.5
99;England;England Premiere League;2021/01/11;Wolves;Everton;2;1;H;2,2;3,2;3,5;2,3;1,61
131;England;England Premiere League;2021/01/12;Southampton;Leicester;2;2;D;2,37;3,5;2,87;1,72;2,1
132;England;England Premiere League;2021/01/12;Watford;Chelsea;1;2;A;10;5,25;1,3;1,72;2,1
133;England;England Premiere League;2021/01/12;West Ham;Brighton;1;1;D;1,95;3,6;3,8;2,06;1,84
134;England;England Premiere League;2021/01/12;Wolves;Burnley;0;0;D;1,85;3,5;4,33;2,2;1,66
135;England;England Premiere League;2021/01/12;Aston Villa;Man City;1;2;A;9;5,25;1,33;1,61;2,3
136;England;England Premiere League;2021/01/12;Everton;Liverpool;1;4;A;7,5;5,25;1,36;1,57;2,37
60;England;England Premiere League;2021/02/10;Man United;Everton;1;1;D;1,45;4,33;7,5;1,8;2
61;England;England Premiere League;2021/02/10;Burnley;Norwich;0;0;D;1,85;3,6;4,33;1,9;1,9
62;England;England Premiere League;2021/02/10;Chelsea;Southampton;3;1;H;1,36;4,75;9;1,8;2
63;England;England Premiere League;2021/02/10;Leeds;Watford;1;0;H;1,7;4;4,75;1,66;2,2
64;England;England Premiere League;2021/02/10;Wolves;Newcastle;2;1;H;1,61;4,2;5,25;1,9;1,9
65;England;England Premiere League;2021/02/10;Brighton;Arsenal;0;0;D;3;3,25;2,4;2;1,8
138;England;England Premiere League;2021/02/12;Man United;Arsenal;3;2;H;1,95;3,75;3,75;1,8;2
137;England;England Premiere League;2021/02/12;Tottenham;Brentford;2;0;H;1,6;4,2;5,25;1,92;1,98
67;England;England Premiere League;2021/03/10;Tottenham;Aston Villa;2;1;H;2,1;3,6;3,4;1,9;1,9
69;England;England Premiere League;2021/03/10;Liverpool;Man City;2;2;D;2,87;3,5;2,4;1,72;2,1
66;England;England Premiere League;2021/03/10;Crystal Palace;Leicester;2;2;D;3,1;3,4;2,3;2;1,8
68;England;England Premiere League;2021/03/10;West Ham;Brentford;1;2;A;1,75;3,75;4,75;1,9;1,9
143;England;England Premiere League;2021/04/12;Watford;Man City;1;3;A;12;7;1,2;1,44;2,75
140;England;England Premiere League;2021/04/12;Newcastle;Burnley;1;0;H;2,3;3,3;3,2;1,96;1,94
141;England;England Premiere League;2021/04/12;Southampton;Brighton;1;1;D;2,45;3,2;3;2,2;1,66
139;England;England Premiere League;2021/04/12;West Ham;Chelsea;3;2;H;4,75;3,6;1,75;2;1,8
142;England;England Premiere League;2021/04/12;Wolves;Liverpool;0;1;A;8;4,75;1,4;1,66;2,2
100;England;England Premiere League;2021/05/11;Southampton;Aston Villa;1;0;H;1,95;3,6;3,75;1,72;2,1
144;England;England Premiere League;2021/05/12;Leeds;Brentford;2;2;D;1,95;3,6;3,8;1,96;1,94
147;England;England Premiere League;2021/05/12;Aston Villa;Leicester;2;1;H;2,37;3,4;3;1,9;2
146;England;England Premiere League;2021/05/12;Tottenham;Norwich;3;0;H;1,36;5;8,5;1,87;2,03
145;England;England Premiere League;2021/05/12;Man United;Crystal Palace;1;0;H;1,5;4,33;6,5;1,8;2
105;England;England Premiere League;2021/06/11;Brighton;Newcastle;1;1;D;1,57;3,9;6;1,9;1,9
101;England;England Premiere League;2021/06/11;Man United;Man City;0;2;A;4,75;4;1,7;1,57;2,37
102;England;England Premiere League;2021/06/11;Brentford;Norwich;1;2;A;1,6;4;5,75;2;1,8
103;England;England Premiere League;2021/06/11;Chelsea;Burnley;1;1;D;1,25;6;12;1,72;2,1
104;England;England Premiere League;2021/06/11;Crystal Palace;Wolves;2;0;H;2,45;3,2;3;2,37;1,57
148;England;England Premiere League;2021/06/12;Everton;Arsenal;2;1;H;3,4;3,5;2,1;2,06;1,84
106;England;England Premiere League;2021/07/11;Arsenal;Watford;1;0;H;1,36;4,75;8,5;1,57;2,37
109;England;England Premiere League;2021/07/11;West Ham;Liverpool;3;2;H;4,75;4;1,7;1,5;2,62
108;England;England Premiere League;2021/07/11;Leeds;Leicester;1;1;D;2,8;3,5;2,45;1,66;2,2
107;England;England Premiere League;2021/07/11;Everton;Tottenham;0;0;D;3,1;3,25;2,37;2;1,8
0;England;England Premiere League;2021/08/13;Brentford;Arsenal;2;0;H;4;3,4;1,95;2,1;1,72
6;England;England Premiere League;2021/08/14;Watford;Aston Villa;3;2;H;3,1;3,2;2,37;2;1,8
5;England;England Premiere League;2021/08/14;Leicester;Wolves;1;0;H;1,66;3,8;5,25;2,09;1,84
4;England;England Premiere League;2021/08/14;Everton;Southampton;3;1;H;1,9;3,5;4;2;1,8
3;England;England Premiere League;2021/08/14;Chelsea;Crystal Palace;3;0;H;1,25;5,75;13;1,8;2
2;England;England Premiere League;2021/08/14;Burnley;Brighton;1;2;A;3,1;3,1;2,45;2,5;1,53
1;England;England Premiere League;2021/08/14;Man United;Leeds;5;1;H;1,53;4,5;5,75;1,61;2,3
7;England;England Premiere League;2021/08/14;Norwich;Liverpool;0;3;A;9;5,75;1,3;1,53;2,5
8;England;England Premiere League;2021/08/15;Newcastle;West Ham;2;4;A;3,2;3,5;2,2;1,99;1,94
9;England;England Premiere League;2021/08/15;Tottenham;Man City;1;0;H;5,5;4,2;1,6;1,89;2,04
